manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,real_start_date,real_end_date,genres,themes,demographics
1723,Choujuu Densetsu Gestalt,manga,6.57,266,finished,8,51,1992-01-01,2001-01-01,1000,7,True,True,1992,2001,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
86824,Hotetta Karada wo Hitorijime♥,manga,6.89,129,finished,1,8,2014-01-11,2014-12-13,317,1,False,True,2014-01-11,2014-12-13,['Hentai'],[],[]
67959,Nanako-san-teki na Nichijou Dash!!,manga,6.27,404,finished,3,49,2011-12-02,2013-12-20,1641,1,True,True,2011-12-02,2013-12-20,"['Comedy', 'Ecchi']",['School'],[]
20959,El Alamein no Shinden,manga,6.55,276,finished,1,5,1996-01-01,1998-01-01,636,1,True,True,1996,1998,[],"['Historical', 'Military']",['Seinen']
11323,Triple Complex!!!,manga,6.26,407,finished,1,2,2008-01-22,2008-03-21,926,2,True,True,2008-01-22,2008-03-21,"['Action', 'Comedy', 'Mystery']",[],['Shoujo']
161,Brigadoon: Marin to Melan,manga,6.66,220,finished,2,10,2000-01-01,2001-01-01,510,5,True,True,2000,2001,"['Action', 'Comedy', 'Sci-Fi']",[],['Shounen']
20385,The iDOLM@STER: Innocent Blue for Dearly Stars,manga,6.91,123,finished,3,21,2009-08-08,2011-01-27,406,5,True,True,2009-08-08,2011-01-27,[],"['Idols (Female)', 'Music']",['Shounen']
133321,Gatapishi,manga,6.91,123,finished,1,6,2016-09-24,2018-11-25,278,1,False,True,2016-09-24,2018-11-25,"['Boys Love', 'Erotica']",[],[]
75093,Iromeku Kanojo,manga,6.72,192,finished,1,11,2012-03-14,2014-03-28,632,0,False,True,2012-03-14,2014-03-28,['Hentai'],[],[]
16150,Jade,manga,6.72,192,finished,1,6,2006-07-01,2007-11-01,476,1,True,True,2006-07,2007-11,['Fantasy'],[],['Shoujo']
8246,Kagome,one_shot,6.26,406,finished,,1,,,749,0,True,True,,,['Boys Love'],[],[]
5914,Kiiroi Hon: Jacques Thibault to Iu Na no Yuujin,manga,6.48,312,finished,1,8,2001-01-01,2001-01-01,940,5,True,True,2001,2001,"['Award Winning', 'Drama', 'Slice of Life']",[],['Seinen']
53981,Moetion Graphics,manga,6.96,110,finished,1,10,2009-10-31,2012-02-01,368,3,False,True,2009-10-31,2012-02-01,['Hentai'],[],[]
23226,Nekomedou Kokoro Tan,manga,6.86,138,finished,2,9,2008-07-18,,496,0,False,True,2008-07-18,,"['Erotica', 'Girls Love', 'Supernatural']",['School'],[]
315,Fever,manhwa,6.8100000000000005,156,finished,4,19,2003-01-01,,510,5,True,True,2003,,['Drama'],['School'],['Shoujo']
129684,Ashley Goeth no Yukue,one_shot,6.8100000000000005,156,finished,,1,2015-06-21,2015-06-21,381,1,True,True,2015-06-21,2015-06-21,"['Mystery', 'Suspense']",['Psychological'],['Shounen']
15505,Chronic Love - Tsuioku,manga,6.67,215,finished,1,6,2009-02-23,2009-02-23,422,0,False,True,2009-02-23,2009-02-23,"['Boys Love', 'Erotica']",['Historical'],[]
87287,Diabolik Lovers: Anime Koushiki Anthology,manga,6.57,265,finished,1,12,2014-02-13,2014-02-13,1055,8,True,True,2014-02-13,2014-02-13,['Slice of Life'],['Vampire'],[]
58919,Boku no Yayoi-san,manga,6.61,244,finished,1,8,2012-11-26,2014-05-26,659,4,False,True,2012-11-26,2014-05-26,['Hentai'],[],[]
38515,Help Me! Misaki-san: Boku no Misaki-san-hen,one_shot,6.6,249,finished,,1,2010-12-29,2010-12-29,570,3,False,True,2010-12-29,2010-12-29,['Hentai'],[],[]
2237,Hanon,manga,6.6,249,finished,1,5,1999-10-08,1999-10-08,470,1,False,True,1999-10-08,1999-10-08,"['Boys Love', 'Erotica']",[],[]
83775,"Yuki-chan no Baka, Daisuki.",one_shot,6.2,425,finished,,1,2013-10-24,2013-10-24,783,0,True,True,2013-10-24,2013-10-24,['Romance'],['School'],['Shoujo']
